Name	Seeds	R	"Expected Spread"	"Simulation Spread"	"Reach Ratio 1"	"Reach Ratio 2"	"#Nodes"	
12831	1	1000	7.302	10	20	27	160	
64496469	1	1000	9.248	16	27	47	39	
45690012	1	1000	29.058	11	31	12	128	
790205	1	1000	22.387	19	28	24	143	
256497288	1	1000	21.66	11	33	17	160	
203868162	1	1000	11.496	27	23	55	65	
15947217	1	1000	14.229	24	35	60	77	
12831	3	333	19.8258	21	36	38	160	
64496469	3	333	14.1832	16	44	50	39	
45690012	3	333	47.5556	59	51	63	128	
790205	3	333	39.6907	40	46	46	143	
256497288	3	333	37.8919	41	47	51	160	
203868162	3	333	25.1772	14	44	24	65	
15947217	3	333	23.4955	22	46	44	77	
12831	5	200	29.05	28	46	44	160	
64496469	5	200	16.295	12	54	40	39	
45690012	5	200	57.65	52	63	57	128	
790205	5	200	52.95	52	56	55	143	
256497288	5	200	52.02	38	56	41	160	
203868162	5	200	31.855	32	57	58	65	
15947217	5	200	30.435	33	59	64	77	
12831	10	100	45.66	43	59	55	160	
64496469	10	100	17.02	19	63	70	39	
45690012	10	100	67.86	80	69	82	128	
790205	10	100	66.27	52	66	52	143	
256497288	10	100	71.5	79	66	73	160	
203868162	10	100	34.56	34	66	65	65	
15947217	10	100	37.62	38	64	65	77	
12831	100	10	54	51	91	86	160	
64496469	100	10	-59	-59	1	1	41	
45690012	100	10	24.9	24	99	96	125	
790205	100	10	44	40	89	81	150	
256497288	100	10	58.2	60	95	98	161	
203868162	100	10	-31	-31	1	1	69	
15947217	100	10	-12	-12	1	1	88	
12831	50	20	77.85	72	82	76	160	
64496469	50	20	-9	-9	1	1	41	
45690012	50	20	58.9	64	85	92	125	
790205	50	20	74.1	71	81	78	150	
256497288	50	20	87.15	81	88	81	161	
203868162	50	20	11.8	11	90	84	63	
15947217	50	20	16.45	13	82	65	70	
12831	20	50	60.68	48	69	55	160	
64496469	20	50	13.78	13	72	68	39	
45690012	20	50	72.32	79	76	84	128	
790205	20	50	72.14	70	75	73	143	
256497288	20	50	87.48	84	75	72	160	
203868162	20	50	32.5	28	75	65	65	
15947217	20	50	43.74	37	78	66	77	
