Name	Seeds	R	"Expected Spread"	"Simulation Spread"	"Reach Ratio 1"	"Reach Ratio 2"	"#Nodes"	
12831	1	2000	7.302	4	-2147483648	11	160	
64496469	1	2000	9.201	18	-2147483648	52	39	
45690012	1	2000	29.497	24	-2147483648	26	128	
790205	1	2000	21.8605	31	-2147483648	39	143	
256497288	1	2000	21.744	28	-2147483648	43	160	
203868162	1	2000	11.364	2	-2147483648	4	65	
15947217	1	2000	13.8355	21	-2147483648	52	77	
12831	3	666	19.6006	20	-2147483648	35	160	
64496469	3	666	14.518	21	-2147483648	65	39	
45690012	3	666	48.4069	70	-2147483648	75	128	
790205	3	666	39.5721	41	-2147483648	50	143	
256497288	3	666	38.4339	29	-2147483648	36	160	
203868162	3	666	26.5751	31	-2147483648	54	65	
15947217	3	666	23.0556	28	-2147483648	56	77	
12831	5	400	29.9375	22	-2147483648	32	160	
64496469	5	400	16.18	18	-2147483648	60	39	
45690012	5	400	57.3175	68	-2147483648	71	128	
790205	5	400	52.9475	70	-2147483648	75	143	
256497288	5	400	51.375	55	-2147483648	60	160	
203868162	5	400	32.3775	35	-2147483648	63	65	
15947217	5	400	29.7075	18	-2147483648	35	77	
12831	10	200	45.055	35	-2147483648	47	160	
64496469	10	200	16.995	21	-2147483648	75	39	
45690012	10	200	68.01	59	-2147483648	62	128	
790205	10	200	66.93	57	-2147483648	58	143	
256497288	10	200	70.08	77	-2147483648	71	160	
203868162	10	200	35.475	31	-2147483648	59	65	
15947217	10	200	38.62	35	-2147483648	59	77	
12831	50	40	78.875	77	-2147483648	81	160	
64496469	50	40	-9	-9	1	1	41	
45690012	50	40	62.7	61	-2147483648	81	125	
790205	50	40	80.25	86	-2147483648	90	150	
256497288	50	40	94.825	96	-2147483648	90	161	
203868162	50	40	12.2	12	-2147483648	92	63	
15947217	50	40	16.9	15	-2147483648	75	70	
12831	20	100	61.22	54	-2147483648	62	160	
64496469	20	100	13.79	11	-2147483648	57	39	
45690012	20	100	74.93	77	-2147483648	81	128	
790205	20	100	76.87	72	-2147483648	72	143	
256497288	20	100	86.92	82	-2147483648	73	160	
203868162	20	100	33.7	26	-2147483648	57	65	
15947217	20	100	44.4	42	-2147483648	75	77	
12831	100	20	57.2	58	95	96	160	
64496469	100	20	-59	-59	1	1	41	
45690012	100	20	24.4	25	97	100	125	
790205	100	20	47.05	45	94	90	150	
256497288	100	20	57.85	54	94	88	161	
203868162	100	20	-31	-31	1	1	69	
15947217	100	20	-12	-12	1	1	88	
