Name	Seeds	R	"Expected Spread"	"Simulation Spread"	"Reach Ratio 1"	"Reach Ratio 2"	"#Nodes"	
12831	1	2000	-1	2	0	9	160	
64496469	1	2000	-1	1	0	2	39	
45690012	1	2000	-1	10	0	20	128	
790205	1	2000	-1	13	0	24	143	
256497288	1	2000	-1	7	0	25	160	
203868162	1	2000	-1	29	0	59	65	
15947217	1	2000	-1	7	0	17	77	
12831	3	666	-1	21	0	50	160	
64496469	3	666	-1	16	0	50	39	
45690012	3	666	-1	23	0	32	128	
790205	3	666	-1	49	0	56	143	
256497288	3	666	-1	13	0	16	160	
203868162	3	666	-1	20	0	42	65	
15947217	3	666	-1	19	0	50	77	
12831	5	400	-1	26	0	53	160	
64496469	5	400	-1	10	0	33	39	
45690012	5	400	-1	42	0	50	128	
790205	5	400	-1	51	0	56	143	
256497288	5	400	-1	30	0	36	160	
203868162	5	400	-1	28	0	62	65	
15947217	5	400	-1	27	0	75	77	
12831	100	20	-1	48	0	94	160	
64496469	100	20	-59	-59	1	1	41	
45690012	100	20	-1	20	0	80	125	
790205	100	20	-1	36	0	81	150	
256497288	100	20	-1	49	0	85	161	
203868162	100	20	-31	-31	1	1	69	
15947217	100	20	-12	-12	1	1	88	
12831	50	40	-1	58	0	84	160	
64496469	50	40	-9	-9	1	1	41	
45690012	50	40	-1	47	0	85	125	
790205	50	40	-1	52	0	83	150	
256497288	50	40	-1	63	0	76	161	
203868162	50	40	-1	8	0	61	63	
15947217	50	40	-1	15	0	83	70	
12831	10	200	-1	28	0	44	160	
64496469	10	200	-1	12	0	48	39	
45690012	10	200	-1	42	0	48	128	
790205	10	200	-1	60	0	67	143	
256497288	10	200	-1	64	0	71	160	
203868162	10	200	-1	29	0	72	65	
15947217	10	200	-1	20	0	51	77	
12831	20	100	-1	51	0	71	160	
64496469	20	100	-1	11	0	73	39	
45690012	20	100	-1	52	0	65	128	
790205	20	100	-1	52	0	63	143	
256497288	20	100	-1	68	0	75	160	
203868162	20	100	-1	22	0	55	65	
15947217	20	100	-1	25	0	75	77	
