Name	Seeds	R	"Expected Spread"	"Simulation Spread"	"Reach Ratio 1"	"Reach Ratio 2"	"#Nodes"	
12831	1	2000	-1	4	0	28	160	
64496469	1	2000	-1	7	0	20	39	
45690012	1	2000	-1	0	0	-2147483648	128	
790205	1	2000	-1	1	0	1	143	
256497288	1	2000	-1	4	0	50	160	
203868162	1	2000	-1	0	0	-2147483648	65	
15947217	1	2000	-1	0	0	0	77	
12831	3	666	-1	1	0	8	160	
64496469	3	666	-1	20	0	62	39	
45690012	3	666	-1	12	0	25	128	
790205	3	666	-1	19	0	36	143	
256497288	3	666	-1	3	0	42	160	
203868162	3	666	-1	0	0	-2147483648	65	
15947217	3	666	-1	0	0	0	77	
12831	5	400	-1	2	0	20	160	
64496469	5	400	-1	3	0	10	39	
45690012	5	400	-1	4	0	8	128	
790205	5	400	-1	21	0	42	143	
256497288	5	400	-1	22	0	36	160	
203868162	5	400	-1	12	0	26	65	
15947217	5	400	-1	10	0	25	77	
12831	10	200	-1	5	0	71	160	
64496469	10	200	-1	17	0	68	39	
45690012	10	200	-1	6	0	14	128	
790205	10	200	-1	11	0	24	143	
256497288	10	200	-1	23	0	41	160	
203868162	10	200	-1	12	0	30	65	
15947217	10	200	-1	18	0	52	77	
12831	100	20	-1	0	0	-2147483648	160	
64496469	100	20	-59	-59	1	1	41	
45690012	100	20	-1	0	0	-2147483648	125	
790205	100	20	-1	1	0	100	150	
256497288	100	20	-1	5	0	100	161	
203868162	100	20	-31	-31	1	1	69	
15947217	100	20	-12	-12	1	1	88	
12831	50	40	-1	16	0	80	160	
64496469	50	40	-9	-9	1	1	41	
45690012	50	40	-1	32	0	84	125	
790205	50	40	-1	22	0	70	150	
256497288	50	40	-1	22	0	88	161	
203868162	50	40	-1	4	0	100	63	
15947217	50	40	-1	6	0	100	70	
12831	20	100	-1	9	0	75	160	
64496469	20	100	-1	10	0	66	39	
45690012	20	100	-1	34	0	66	128	
790205	20	100	-1	11	0	31	143	
256497288	20	100	-1	31	0	59	160	
203868162	20	100	-1	17	0	56	65	
15947217	20	100	-1	15	0	55	77	
